Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
144, MP, MP Materials Corp., Basic Materials, Other Industrial Metals & Mining, USA, 4.79B, 40.34, -, 24.65, 5.42, -, -, 35.41%, 54.02%, 2225.40%, 100.40%, -0.60%, -1.00%, -1.80%, 17.00, 16.50, 0.79, 0.84, 56.70%, -, -2.90%, -11.53%, -39.22%, 25.98%, -, -12.71%, 7.21%
146, MT, ArcelorMittal, Basic Materials, Steel, Luxembourg, 35.67B, 7.16, -, 0.65, 0.96, 16.79, 73.50%, -42.10%, -, 274.50%, 9.10%, 3.20%, 7.10%, 0.90%, 1.30, 0.70, 0.21, 0.28, -, 9.30%, 4.90%, 6.50%, 34.45%, 77.31%, 238.77%, 42.31%, 2.82%
148, MTL, Mechel PAO, Basic Materials, Steel, Russia, 653.80M, -, -, 0.18, -, 1.56, -547.50%, -, -, 124.00%, 13.10%, 23.00%, -18.70%, 25.50%, 0.20, 0.10, -, -, 36.60%, 9.50%, 16.70%, 13.64%, 20.97%, 49.01%, 24.31%, 9.76%, 6.07%
150, MTX, Minerals Technologies Inc., Basic Materials, Chemicals, USA, 2.92B, 15.94, 4.66, 1.79, 2.01, 11.97, -13.10%, 11.32%, 5.60%, 4.60%, 8.40%, 3.60%, 7.90%, 6.80%, 3.60, 2.80, 0.64, 0.64, 25.20%, 11.60%, 7.00%, 9.19%, 17.46%, 38.67%, 76.43%, 40.05%, 2.62%
152, NAK, Northern Dynasty Minerals Ltd., Basic Materials, Other Industrial Metals & Mining, Canada, 293.30M, -, -, -, 2.08, -, 30.20%, -, -, 24.60%, -, -34.70%, -37.20%, -, 4.70, 4.70, 0.00, 0.00, -, -, -, -5.12%, -28.76%, 40.56%, -56.71%, 74.78%, 5.51%
154, NEU, NewMarket Corporation, Basic Materials, Specialty Chemicals, USA, 3.70B, -, 1.91, 1.83, 4.62, 40.04, 8.40%, -, 7.70%, -16.80%, 1.30%, 12.70%, 34.70%, 18.30%, 4.00, 2.80, 1.22, 0.00, 28.50%, 14.40%, 12.60%, -2.17%, -11.02%, -8.60%, -21.30%, -13.82%, 1.83%
156, NG, NovaGold Resources Inc., Basic Materials, Gold, Canada, 3.38B, -, -, -, 32.06, -, -19.60%, 0.00%, -, -19.50%, -, -15.40%, -30.70%, -, 119.00, 119.00, 1.06, 1.06, -, -, -, 11.89%, 23.02%, 3.22%, 7.32%, 6.10%, 3.54%
158, NGVT, Ingevity Corporation, Basic Materials, Specialty Chemicals, USA, 3.33B, 13.60, 5.93, 2.67, 5.03, 12.64, 0.30%, 12.20%, 3.10%, 10.80%, 11.10%, 8.10%, 30.30%, 9.40%, 2.90, 2.00, 1.91, 1.94, 38.20%, 19.30%, 14.80%, 5.54%, 15.02%, 19.86%, 56.27%, 8.69%, 2.96%
160, NTIC, Northern Technologies International Corporation, Basic Materials, Specialty Chemicals, USA, 147.33M, 17.35, -, 3.25, 2.52, 122.78, -126.60%, 69.64%, 20.00%, 599.70%, -3.00%, -0.20%, -0.30%, -1.90%, 4.70, 3.30, 0.00, 0.00, 33.90%, 6.10%, -0.30%, 8.14%, -4.19%, 73.47%, 122.44%, 56.06%, 5.00%
141, MLM, Martin Marietta Materials Inc., Basic Materials, Building Materials, USA, 23.12B, 26.32, 2.47, 4.86, 3.82, 36.83, 18.50%, 11.80%, 12.10%, 151.70%, 2.50%, 7.30%, 13.20%, 9.80%, 3.70, 2.20, 0.44, 0.00, 27.00%, 22.00%, 16.00%, 1.28%, 4.63%, 33.36%, 89.31%, 28.06%, 2.29%
